date,game,score,periodscore,spectators,schedule_id,game_id,league,season,home,away,score_home,score_away,p1score,p2score,p3score,p4score,p5score,p1score_home,p1score_away,p2score_home,p2score_away,p3score_home,p3score_away,p4score_home,p4score_away,p5score_home,p5score_away,result,result_p1,result_p2,result_p3,result_p4,result_p5
2020-09-19,Leksands IF  - Skellefteå AIK,4 - 5,"1-2, 0-2, 3-0, 0-1",50.0,11450,,shl,2020/21,Leksands IF,Skellefteå AIK,4.0,5.0,1-2, 0-2, 3-0, 0-1,,1.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,,,draw,away,away,home,away,
2020-09-19,Frölunda HC  - HV 71,3 - 0,"2-0, 1-0, 0-0",50.0,11450,,shl,2020/21,Frölunda HC,HV 71,3.0,0.0,2-0, 1-0, 0-0,,,2.0,0.0,1.0,0.0,0.0,0.0,,,,,home,home,home,draw,,
2020-09-19,Luleå HF  - Färjestad BK,4 - 2,"2-0, 1-0, 1-2",50.0,11450,,shl,2020/21,Luleå HF,Färjestad BK,4.0,2.0,2-0, 1-0, 1-2,,,2.0,0.0,1.0,0.0,1.0,2.0,,,,,home,home,home,away,,
2020-09-19,Rögle BK  - Linköping HC,6 - 4,"1-1, 3-1, 2-2",50.0,11450,,shl,2020/21,Rögle BK,Linköping HC,6.0,4.0,1-1, 3-1, 2-2,,,1.0,1.0,3.0,1.0,2.0,2.0,,,,,home,draw,home,draw,,
2020-09-22,IF Malmö Redhawks  - Leksands IF,3 - 5,"1-3, 1-1, 1-1",50.0,11450,,shl,2020/21,IF Malmö Redhawks,Leksands IF,3.0,5.0,1-3, 1-1, 1-1,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,away,away,draw,draw,,
2020-09-24,Örebro HK  - HV 71,5 - 4,"2-1, 1-3, 2-0",50.0,11450,,shl,2020/21,Örebro HK,HV 71,5.0,4.0,2-1, 1-3, 2-0,,,2.0,1.0,1.0,3.0,2.0,0.0,,,,,home,home,away,home,,
2020-09-24,Brynäs IF  - IK Oskarshamn,2 - 5,"1-2, 0-3, 1-0",50.0,11450,,shl,2020/21,Brynäs IF,IK Oskarshamn,2.0,5.0,1-2, 0-3, 1-0,,,1.0,2.0,0.0,3.0,1.0,0.0,,,,,away,away,away,home,,
2020-09-24,Växjö Lakers HC  - Färjestad BK,2 - 3,"0-1, 1-1, 1-0, 0-0, 0-1",50.0,11450,,shl,2020/21,Växjö Lakers HC,Färjestad BK,2.0,3.0,0-1, 1-1, 1-0, 0-0, 0-1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,draw,away,draw,home,draw,away
2020-09-26,Linköping HC  - Växjö Lakers HC,1 - 2,"1-1, 0-0, 0-0, 0-0, 0-1",50.0,11450,,shl,2020/21,Linköping HC,Växjö Lakers HC,1.0,2.0,1-1, 0-0, 0-0, 0-0, 0-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,draw,draw,draw,draw,draw,away
2020-09-26,IK Oskarshamn  - Luleå HF,2 - 5,"1-1, 1-2, 0-2",50.0,11450,,shl,2020/21,IK Oskarshamn,Luleå HF,2.0,5.0,1-1, 1-2, 0-2,,,1.0,1.0,1.0,2.0,0.0,2.0,,,,,away,draw,away,away,,
2020-09-26,Skellefteå AIK  - Örebro HK,1 - 4,"0-1, 0-2, 1-1",50.0,11450,,shl,2020/21,Skellefteå AIK,Örebro HK,1.0,4.0,0-1, 0-2, 1-1,,,0.0,1.0,0.0,2.0,1.0,1.0,,,,,away,away,away,draw,,
2020-09-26,Färjestad BK  - Brynäs IF,3 - 5,"2-2, 1-1, 0-2",50.0,11450,,shl,2020/21,Färjestad BK,Brynäs IF,3.0,5.0,2-2, 1-1, 0-2,,,2.0,2.0,1.0,1.0,0.0,2.0,,,,,away,draw,draw,away,,
2020-09-26,HV 71  - Rögle BK,2 - 3,"0-1, 1-1, 1-1",50.0,11450,,shl,2020/21,HV 71,Rögle BK,2.0,3.0,0-1, 1-1, 1-1,,,0.0,1.0,1.0,1.0,1.0,1.0,,,,,away,away,draw,draw,,
2020-09-27,Djurgårdens IF  - Frölunda HC,0 - 2,"0-0, 0-1, 0-1",0.0,11450,,shl,2020/21,Djurgårdens IF,Frölunda HC,0.0,2.0,0-0, 0-1, 0-1,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,,away,draw,away,away,,
2020-10-01,Leksands IF  - Örebro HK,3 - 5,"2-1, 0-2, 1-2",50.0,11450,,shl,2020/21,Leksands IF,Örebro HK,3.0,5.0,2-1, 0-2, 1-2,,,2.0,1.0,0.0,2.0,1.0,2.0,,,,,away,home,away,away,,
2020-10-01,Luleå HF  - HV 71,5 - 4,"2-1, 3-1, 0-2",50.0,11450,,shl,2020/21,Luleå HF,HV 71,5.0,4.0,2-1, 3-1, 0-2,,,2.0,1.0,3.0,1.0,0.0,2.0,,,,,home,home,home,away,,
2020-10-01,Skellefteå AIK  - Frölunda HC,3 - 1,"2-1, 1-0, 0-0",50.0,11450,,shl,2020/21,Skellefteå AIK,Frölunda HC,3.0,1.0,2-1, 1-0, 0-0,,,2.0,1.0,1.0,0.0,0.0,0.0,,,,,home,home,home,draw,,
2020-10-01,Djurgårdens IF  - IF Malmö Redhawks,3 - 0,"0-0, 1-0, 2-0",0.0,11450,,shl,2020/21,Djurgårdens IF,IF Malmö Redhawks,3.0,0.0,0-0, 1-0, 2-0,,,0.0,0.0,1.0,0.0,2.0,0.0,,,,,home,draw,home,home,,
2020-10-01,Växjö Lakers HC  - Rögle BK,2 - 1,"0-1, 1-0, 1-0",50.0,11450,,shl,2020/21,Växjö Lakers HC,Rögle BK,2.0,1.0,0-1, 1-0, 1-0,,,0.0,1.0,1.0,0.0,1.0,0.0,,,,,home,away,home,home,,
2020-10-01,Linköping HC  - Brynäs IF,5 - 4,"2-1, 0-3, 2-0, 1-0",0.0,11450,,shl,2020/21,Linköping HC,Brynäs IF,5.0,4.0,2-1, 0-3, 2-0, 1-0,,2.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,,,draw,home,away,home,home,
2020-10-01,IK Oskarshamn  - Färjestad BK,4 - 2,"3-1, 1-0, 0-1",50.0,11450,,shl,2020/21,IK Oskarshamn,Färjestad BK,4.0,2.0,3-1, 1-0, 0-1,,,3.0,1.0,1.0,0.0,0.0,1.0,,,,,home,home,home,away,,
2020-10-03,Luleå HF  - Växjö Lakers HC,2 - 1,"0-0, 1-0, 1-1",50.0,11450,,shl,2020/21,Luleå HF,Växjö Lakers HC,2.0,1.0,0-0, 1-0, 1-1,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,home,draw,home,draw,,
2020-10-03,Brynäs IF  - Skellefteå AIK,3 - 2,"1-2, 1-0, 1-0",50.0,11450,,shl,2020/21,Brynäs IF,Skellefteå AIK,3.0,2.0,1-2, 1-0, 1-0,,,1.0,2.0,1.0,0.0,1.0,0.0,,,,,home,away,home,home,,
2020-10-03,Rögle BK  - Djurgårdens IF,5 - 3,"2-0, 2-1, 1-2",50.0,11450,,shl,2020/21,Rögle BK,Djurgårdens IF,5.0,3.0,2-0, 2-1, 1-2,,,2.0,0.0,2.0,1.0,1.0,2.0,,,,,home,home,home,away,,
2020-10-03,Färjestad BK  - IF Malmö Redhawks,2 - 4,"0-0, 0-3, 2-1",50.0,11450,,shl,2020/21,Färjestad BK,IF Malmö Redhawks,2.0,4.0,0-0, 0-3, 2-1,,,0.0,0.0,0.0,3.0,2.0,1.0,,,,,away,draw,away,home,,
2020-10-03,HV 71  - IK Oskarshamn,6 - 3,"0-2, 3-1, 3-0",0.0,11450,,shl,2020/21,HV 71,IK Oskarshamn,6.0,3.0,0-2, 3-1, 3-0,,,0.0,2.0,3.0,1.0,3.0,0.0,,,,,home,away,home,home,,
2020-10-03,Örebro HK  - Linköping HC,6 - 4,"1-0, 3-1, 2-3",200.0,11450,,shl,2020/21,Örebro HK,Linköping HC,6.0,4.0,1-0, 3-1, 2-3,,,1.0,0.0,3.0,1.0,2.0,3.0,,,,,home,home,home,away,,
2020-10-03,Frölunda HC  - Leksands IF,4 - 2,"1-1, 2-1, 1-0",0.0,11450,,shl,2020/21,Frölunda HC,Leksands IF,4.0,2.0,1-1, 2-1, 1-0,,,1.0,1.0,2.0,1.0,1.0,0.0,,,,,home,draw,home,home,,
2020-10-08,Skellefteå AIK  - HV 71,4 - 2,"1-0, 1-1, 2-1",50.0,11450,,shl,2020/21,Skellefteå AIK,HV 71,4.0,2.0,1-0, 1-1, 2-1,,,1.0,0.0,1.0,1.0,2.0,1.0,,,,,home,home,draw,home,,
2020-10-08,Leksands IF  - Växjö Lakers HC,0 - 2,"0-0, 0-2, 0-0",50.0,11450,,shl,2020/21,Leksands IF,Växjö Lakers HC,0.0,2.0,0-0, 0-2, 0-0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,away,draw,away,draw,,
2020-10-08,Djurgårdens IF  - Luleå HF,3 - 2,"1-0, 1-2, 0-0, 1-0",50.0,11450,,shl,2020/21,Djurgårdens IF,Luleå HF,3.0,2.0,1-0, 1-2, 0-0, 1-0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,,,draw,home,away,draw,home,
2020-10-08,Färjestad BK  - Linköping HC,5 - 4,"3-2, 0-0, 2-2",50.0,11450,,shl,2020/21,Färjestad BK,Linköping HC,5.0,4.0,3-2, 0-0, 2-2,,,3.0,2.0,0.0,0.0,2.0,2.0,,,,,home,home,draw,draw,,
2020-10-08,IK Oskarshamn  - Rögle BK,2 - 3,"1-1, 1-1, 0-1",50.0,11450,,shl,2020/21,IK Oskarshamn,Rögle BK,2.0,3.0,1-1, 1-1, 0-1,,,1.0,1.0,1.0,1.0,0.0,1.0,,,,,away,draw,draw,away,,
2020-10-08,IF Malmö Redhawks  - Örebro HK,2 - 1,"1-1, 1-0, 0-0",0.0,11450,,shl,2020/21,IF Malmö Redhawks,Örebro HK,2.0,1.0,1-1, 1-0, 0-0,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,,home,draw,home,draw,,
2020-10-08,Frölunda HC  - Brynäs IF,3 - 0,"0-0, 1-0, 2-0",0.0,11450,,shl,2020/21,Frölunda HC,Brynäs IF,3.0,0.0,0-0, 1-0, 2-0,,,0.0,0.0,1.0,0.0,2.0,0.0,,,,,home,draw,home,home,,
2020-10-10,Luleå HF  - Brynäs IF,,,,11450,,shl,2020/21,Luleå HF,Brynäs IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,Djurgårdens IF  - IK Oskarshamn,,,,11450,,shl,2020/21,Djurgårdens IF,IK Oskarshamn,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,Rögle BK  - Örebro HK,,,,11450,,shl,2020/21,Rögle BK,Örebro HK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,Växjö Lakers HC  - Skellefteå AIK,,,,11450,,shl,2020/21,Växjö Lakers HC,Skellefteå AIK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,Linköping HC  - Leksands IF,,,,11450,,shl,2020/21,Linköping HC,Leksands IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,HV 71  - Färjestad BK,,,,11450,,shl,2020/21,HV 71,Färjestad BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-12,Frölunda HC  - Skellefteå AIK,,,,11450,,shl,2020/21,Frölunda HC,Skellefteå AIK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,Skellefteå AIK  - Färjestad BK,,,,11450,,shl,2020/21,Skellefteå AIK,Färjestad BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,Örebro HK  - Luleå HF,,,,11450,,shl,2020/21,Örebro HK,Luleå HF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,Brynäs IF  - Rögle BK,,,,11450,,shl,2020/21,Brynäs IF,Rögle BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,Linköping HC  - Djurgårdens IF,,,,11450,,shl,2020/21,Linköping HC,Djurgårdens IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,HV 71  - IF Malmö Redhawks,,,,11450,,shl,2020/21,HV 71,IF Malmö Redhawks,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,IK Oskarshamn  - Leksands IF,,,,11450,,shl,2020/21,IK Oskarshamn,Leksands IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,Frölunda HC  - Växjö Lakers HC,,,,11450,,shl,2020/21,Frölunda HC,Växjö Lakers HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,Växjö Lakers HC  - Brynäs IF,,,,11450,,shl,2020/21,Växjö Lakers HC,Brynäs IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,IK Oskarshamn  - Örebro HK,,,,11450,,shl,2020/21,IK Oskarshamn,Örebro HK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,IF Malmö Redhawks  - Luleå HF,,,,11450,,shl,2020/21,IF Malmö Redhawks,Luleå HF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,Leksands IF  - Rögle BK,,,,11450,,shl,2020/21,Leksands IF,Rögle BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,Skellefteå AIK  - Linköping HC,,,,11450,,shl,2020/21,Skellefteå AIK,Linköping HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,Djurgårdens IF  - HV 71,,,,11450,,shl,2020/21,Djurgårdens IF,HV 71,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,Färjestad BK  - Frölunda HC,,,,11450,,shl,2020/21,Färjestad BK,Frölunda HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,Leksands IF  - Djurgårdens IF,,,,11450,,shl,2020/21,Leksands IF,Djurgårdens IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,IF Malmö Redhawks  - Frölunda HC,,,,11450,,shl,2020/21,IF Malmö Redhawks,Frölunda HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,Luleå HF  - Leksands IF,,,,11450,,shl,2020/21,Luleå HF,Leksands IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,Djurgårdens IF  - Skellefteå AIK,,,,11450,,shl,2020/21,Djurgårdens IF,Skellefteå AIK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,Rögle BK  - Frölunda HC,,,,11450,,shl,2020/21,Rögle BK,Frölunda HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,Färjestad BK  - Örebro HK,,,,11450,,shl,2020/21,Färjestad BK,Örebro HK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,Linköping HC  - IK Oskarshamn,,,,11450,,shl,2020/21,Linköping HC,IK Oskarshamn,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,HV 71  - Brynäs IF,,,,11450,,shl,2020/21,HV 71,Brynäs IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,Växjö Lakers HC  - IF Malmö Redhawks,,,,11450,,shl,2020/21,Växjö Lakers HC,IF Malmö Redhawks,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Skellefteå AIK  - Rögle BK,,,,11450,,shl,2020/21,Skellefteå AIK,Rögle BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Leksands IF  - Färjestad BK,,,,11450,,shl,2020/21,Leksands IF,Färjestad BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Frölunda HC  - Luleå HF,,,,11450,,shl,2020/21,Frölunda HC,Luleå HF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Linköping HC  - HV 71,,,,11450,,shl,2020/21,Linköping HC,HV 71,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,IK Oskarshamn  - IF Malmö Redhawks,,,,11450,,shl,2020/21,IK Oskarshamn,IF Malmö Redhawks,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Djurgårdens IF  - Brynäs IF,,,,11450,,shl,2020/21,Djurgårdens IF,Brynäs IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Örebro HK  - Växjö Lakers HC,,,,11450,,shl,2020/21,Örebro HK,Växjö Lakers HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,Luleå HF  - Linköping HC,,,,11450,,shl,2020/21,Luleå HF,Linköping HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,Leksands IF  - HV 71,,,,11450,,shl,2020/21,Leksands IF,HV 71,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,Örebro HK  - Brynäs IF,,,,11450,,shl,2020/21,Örebro HK,Brynäs IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,Växjö Lakers HC  - Djurgårdens IF,,,,11450,,shl,2020/21,Växjö Lakers HC,Djurgårdens IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,Färjestad BK  - Rögle BK,,,,11450,,shl,2020/21,Färjestad BK,Rögle BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,IK Oskarshamn  - Frölunda HC,,,,11450,,shl,2020/21,IK Oskarshamn,Frölunda HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,IF Malmö Redhawks  - Skellefteå AIK,,,,11450,,shl,2020/21,IF Malmö Redhawks,Skellefteå AIK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,Skellefteå AIK  - IK Oskarshamn,,,,11450,,shl,2020/21,Skellefteå AIK,IK Oskarshamn,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,Brynäs IF  - Leksands IF,,,,11450,,shl,2020/21,Brynäs IF,Leksands IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,Djurgårdens IF  - Färjestad BK,,,,11450,,shl,2020/21,Djurgårdens IF,Färjestad BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,Rögle BK  - Luleå HF,,,,11450,,shl,2020/21,Rögle BK,Luleå HF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,Linköping HC  - IF Malmö Redhawks,,,,11450,,shl,2020/21,Linköping HC,IF Malmö Redhawks,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,HV 71  - Växjö Lakers HC,,,,11450,,shl,2020/21,HV 71,Växjö Lakers HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,Frölunda HC  - Örebro HK,,,,11450,,shl,2020/21,Frölunda HC,Örebro HK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,IK Oskarshamn  - Linköping HC,,,,11450,,shl,2020/21,IK Oskarshamn,Linköping HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,IF Malmö Redhawks  - Färjestad BK,,,,11450,,shl,2020/21,IF Malmö Redhawks,Färjestad BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,Örebro HK  - Skellefteå AIK,,,,11450,,shl,2020/21,Örebro HK,Skellefteå AIK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,Brynäs IF  - Djurgårdens IF,,,,11450,,shl,2020/21,Brynäs IF,Djurgårdens IF,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,Luleå HF  - Rögle BK,,,,11450,,shl,2020/21,Luleå HF,Rögle BK,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,Leksands IF  - Frölunda HC,,,,11450,,shl,2020/21,Leksands IF,Frölunda HC,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,Växjö Lakers HC  - HV 71,,,,11450,,shl,2020/21,Växjö Lakers HC,HV 71,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,Luleå HF  - Frölunda HC,,,,11450,,shl,2020/21,Luleå HF,Frölunda HC,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,Brynäs IF  - HV 71,,,,11450,,shl,2020/21,Brynäs IF,HV 71,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,Växjö Lakers HC  - Örebro HK,,,,11450,,shl,2020/21,Växjö Lakers HC,Örebro HK,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,Färjestad BK  - Leksands IF,,,,11450,,shl,2020/21,Färjestad BK,Leksands IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,Linköping HC  - Skellefteå AIK,,,,11450,,shl,2020/21,Linköping HC,Skellefteå AIK,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,IK Oskarshamn  - Djurgårdens IF,,,,11450,,shl,2020/21,IK Oskarshamn,Djurgårdens IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,IF Malmö Redhawks  - Rögle BK,,,,11450,,shl,2020/21,IF Malmö Redhawks,Rögle BK,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,Skellefteå AIK  - Växjö Lakers HC,,,,11450,,shl,2020/21,Skellefteå AIK,Växjö Lakers HC,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,Leksands IF  - IK Oskarshamn,,,,11450,,shl,2020/21,Leksands IF,IK Oskarshamn,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,Örebro HK  - IF Malmö Redhawks,,,,11450,,shl,2020/21,Örebro HK,IF Malmö Redhawks,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,Djurgårdens IF  - Linköping HC,,,,11450,,shl,2020/21,Djurgårdens IF,Linköping HC,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,Rögle BK  - Brynäs IF,,,,11450,,shl,2020/21,Rögle BK,Brynäs IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,HV 71  - Luleå HF,,,,11450,,shl,2020/21,HV 71,Luleå HF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,Frölunda HC  - Färjestad BK,,,,11450,,shl,2020/21,Frölunda HC,Färjestad BK,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,Växjö Lakers HC  - Luleå HF,,,,11450,,shl,2020/21,Växjö Lakers HC,Luleå HF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,HV 71  - Leksands IF,,,,11450,,shl,2020/21,HV 71,Leksands IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,IK Oskarshamn  - Skellefteå AIK,,,,11450,,shl,2020/21,IK Oskarshamn,Skellefteå AIK,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,IF Malmö Redhawks  - Brynäs IF,,,,11450,,shl,2020/21,IF Malmö Redhawks,Brynäs IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,Örebro HK  - Rögle BK,,,,11450,,shl,2020/21,Örebro HK,Rögle BK,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,Färjestad BK  - Djurgårdens IF,,,,11450,,shl,2020/21,Färjestad BK,Djurgårdens IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,Linköping HC  - Frölunda HC,,,,11450,,shl,2020/21,Linköping HC,Frölunda HC,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,Luleå HF  - Örebro HK,,,,11450,,shl,2020/21,Luleå HF,Örebro HK,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,Skellefteå AIK  - Djurgårdens IF,,,,11450,,shl,2020/21,Skellefteå AIK,Djurgårdens IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,Leksands IF  - Linköping HC,,,,11450,,shl,2020/21,Leksands IF,Linköping HC,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,Brynäs IF  - Växjö Lakers HC,,,,11450,,shl,2020/21,Brynäs IF,Växjö Lakers HC,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,Rögle BK  - Färjestad BK,,,,11450,,shl,2020/21,Rögle BK,Färjestad BK,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,IF Malmö Redhawks  - HV 71,,,,11450,,shl,2020/21,IF Malmö Redhawks,HV 71,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,Frölunda HC  - IK Oskarshamn,,,,11450,,shl,2020/21,Frölunda HC,IK Oskarshamn,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Brynäs IF  - Frölunda HC,,,,11450,,shl,2020/21,Brynäs IF,Frölunda HC,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Djurgårdens IF  - Växjö Lakers HC,,,,11450,,shl,2020/21,Djurgårdens IF,Växjö Lakers HC,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Rögle BK  - Leksands IF,,,,11450,,shl,2020/21,Rögle BK,Leksands IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Linköping HC  - Luleå HF,,,,11450,,shl,2020/21,Linköping HC,Luleå HF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Skellefteå AIK  - IF Malmö Redhawks,,,,11450,,shl,2020/21,Skellefteå AIK,IF Malmö Redhawks,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Örebro HK  - IK Oskarshamn,,,,11450,,shl,2020/21,Örebro HK,IK Oskarshamn,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Färjestad BK  - HV 71,,,,11450,,shl,2020/21,Färjestad BK,HV 71,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,Färjestad BK  - Luleå HF,,,,11450,,shl,2020/21,Färjestad BK,Luleå HF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26,Örebro HK  - Leksands IF,,,,11450,,shl,2020/21,Örebro HK,Leksands IF,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26,Djurgårdens IF  - Rögle BK,,,,11450,,shl,2020/21,Djurgårdens IF,Rögle BK,,,,,,,,,,,,,,,,,,,,,,,
